"","ES_score","Gene"
"MTHFD2",17.8779577597415,"MTHFD2"
"ARFGEF1",19.6456246520561,"ARFGEF1"
"PKM",43.3448542305413,"PKM"
"IARS2",10.4498168410094,"IARS2"
"ROCK1",16.6524626423539,"ROCK1"
"EXOC5",8.95575251173764,"EXOC5"
"JMJD6",18.0994223901538,"JMJD6"
"PABPC1",79.4019738991978,"PABPC1"
"TFRC",17.7845338002455,"TFRC"
"ACADVL",16.7789876265763,"ACADVL"
"KDM5A",34.2652476150956,"KDM5A"
"SLC25A3",45.4208168683732,"SLC25A3"
"RAB7A",43.4590293647118,"RAB7A"
"TM9SF3",24.3337981294026,"TM9SF3"
"RPS5",63.2599141082859,"RPS5"
"WBP11",27.5604464532964,"WBP11"
"GANAB",17.4571990625044,"GANAB"
"CDC5L",16.5603159558757,"CDC5L"
"SNRPD3",25.2087707081215,"SNRPD3"
"TOMM22",17.4000207507362,"TOMM22"
"RTCB",14.2149919882614,"RTCB"
"MYH9",42.5609586849978,"MYH9"
"PSMC6",24.97906930753,"PSMC6"
"SAMHD1",29.9222626503195,"SAMHD1"
"RNMT",20.5309025559134,"RNMT"
"XIAP",17.3672787931888,"XIAP"
"STAG2",30.270807847754,"STAG2"
"GLA",15.4783728864252,"GLA"
"INTS10",14.6870068639599,"INTS10"
"PDCD5",23.0890228946926,"PDCD5"
"BUD31",23.4947372124573,"BUD31"
"TLE4",25.6056137054454,"TLE4"
"GBF1",11.5205078246854,"GBF1"
"GOSR1",12.9271109225969,"GOSR1"
"WSB1",47.5486867776727,"WSB1"
"UBE2D3",63.5206406848774,"UBE2D3"
"EHD1",16.5676844884693,"EHD1"
"RPS13",76.9260345100257,"RPS13"
"NUP98",24.9506595598434,"NUP98"
"FGFR1OP2",24.8599953176465,"FGFR1OP2"
"NKTR",50.3700282408107,"NKTR"
"KANSL3",10.6103634744321,"KANSL3"
"NCL",56.245880762458,"NCL"
"RPL22",56.5567098547633,"RPL22"
"MTR",15.2037040758867,"MTR"
"PRRC2C",59.841346906806,"PRRC2C"
"RPA2",20.6012345769336,"RPA2"
"CREB1",19.6810527771939,"CREB1"
"PSPC1",12.8385239634654,"PSPC1"
"KHDRBS1",28.5241177563876,"KHDRBS1"
"ZC3H13",28.955114832383,"ZC3H13"
"DDX27",33.863168592117,"DDX27"
"MPHOSPH10",13.2240318203994,"MPHOSPH10"
"ATXN1",22.0814937203892,"ATXN1"
"FAM193A",7.45500586087017,"FAM193A"
"MAX",24.2334160813769,"MAX"
"UXT",31.3353183454517,"UXT"
"HNRNPH2",22.7646573114552,"HNRNPH2"
"EPS15L1",9.38334206636332,"EPS15L1"
"SPCS3",28.4906656049009,"SPCS3"
"SNX6",26.1562841924983,"SNX6"
"ZC3H4",16.4749831759531,"ZC3H4"
"ACTR10",16.6873433509662,"ACTR10"
"MPRIP",14.9282521367929,"MPRIP"
"SRRM1",54.2826756263371,"SRRM1"
"CCDC59",20.2294766008341,"CCDC59"
"COX16",23.6054500863643,"COX16"
"TMEM165",27.2068874482231,"TMEM165"
"UBQLN1",17.8833566745299,"UBQLN1"
"PNPLA8",22.2250379440424,"PNPLA8"
"CAPRIN1",17.8492654194176,"CAPRIN1"
"USP15",39.5514117400307,"USP15"
"KDELR2",25.6325820389477,"KDELR2"
"MARCHF7",21.1648102207436,"MARCHF7"
"NCBP1",13.0071221726533,"NCBP1"
"ANP32B",35.498032947402,"ANP32B"
"PPM1B",16.92377082304,"PPM1B"
"COX17",29.9921228807577,"COX17"
"SMARCC2",23.4500421690454,"SMARCC2"
"NCOR1",49.1551729641123,"NCOR1"
"CLTC",26.7233747611616,"CLTC"
"BRD4",29.9675010862704,"BRD4"
"PSMB6",32.9474063871351,"PSMB6"
"SNRPG",44.5760021983348,"SNRPG"
"SLC20A1",23.3509123810442,"SLC20A1"
"ZC3H8",11.3734166597366,"ZC3H8"
"RPL7L1",23.4052076703398,"RPL7L1"
"CCT6A",27.7760197257439,"CCT6A"
"TERF1",13.5403763937998,"TERF1"
"SAP18",50.0614134938831,"SAP18"
"SMARCA5",24.7500356602848,"SMARCA5"
"TRIP12",23.8145762515825,"TRIP12"
"CHD1",46.2259916695301,"CHD1"
"BUB3",30.4757969212022,"BUB3"
"TTN",19.3509178509296,"TTN"
"SON",74.3040784613546,"SON"
"PMF1",18.7067101712925,"PMF1"
"SAP30BP",21.3529739452524,"SAP30BP"
"RPL26",76.0224346818765,"RPL26"
"RPRD2",11.4082193410884,"RPRD2"
"ATP1A1",36.2488851210966,"ATP1A1"
"NIPBL",38.7479609072818,"NIPBL"
"RICTOR",30.0211594878119,"RICTOR"
"RPS14",84.7872503495955,"RPS14"
"HNRNPK",57.7847148663485,"HNRNPK"
"NDUFB6",25.6185720378164,"NDUFB6"
"NOLC1",16.2686851885926,"NOLC1"
"CDK2AP2",26.8371524546561,"CDK2AP2"
"FNTA",18.5486239172411,"FNTA"
"USP39",12.223846030587,"USP39"
"MAT2A",26.4998269592081,"MAT2A"
"UQCRFS1",26.7483741621916,"UQCRFS1"
"LUZP1",13.9324712500836,"LUZP1"
"UGP2",26.5211889793189,"UGP2"
"EXOSC1",10.8767313857328,"EXOSC1"
"RPS21",75.631659805743,"RPS21"
"MRPL13",12.6992409826024,"MRPL13"
"MRPL57",25.6708142704373,"MRPL57"
"STAT5B",14.9363101467092,"STAT5B"
"CNP",7.90842936888185,"CNP"
"PACS1",12.9262324295712,"PACS1"
"KCMF1",10.8651664125476,"KCMF1"
"ARIH2",29.3041326662543,"ARIH2"
"ZBTB7A",17.2240398921388,"ZBTB7A"
"EIF3K",42.1027142222238,"EIF3K"
"SNRPE",26.864107684044,"SNRPE"
"MRPS16",14.0869184234048,"MRPS16"
"RPS17",68.8618852472028,"RPS17"
"RPL35A",76.7923638978261,"RPL35A"
"SRPRA",25.5101009745166,"SRPRA"
"EIF3C",16.7206728069832,"EIF3C"
"P4HB",34.2215344176151,"P4HB"
"POLR1D",25.7164701837701,"POLR1D"
"RPS23",78.8500558148383,"RPS23"
"RNF220",12.7807970639067,"RNF220"
"PTPN1",28.9233392204923,"PTPN1"
"STRN3",20.3802189355977,"STRN3"
"FLNA",13.3970944578538,"FLNA"
