"","ES_score"
"Ppia",95.6817148761893
"Ppm1d",20.2794594199043
"Ppm1g",44.0665101559097
"Ppp1cb",63.3480793456213
"Ppp1cc",59.7549818422536
"Ppp1r12a",52.8426644159582
"Ppp1r35",26.8587394723235
"Ppp1r8",26.2717952932217
"Ppp2ca",80.0826066258655
"Ppp3ca",60.2622794819383
"Ppp4r2",29.1310378611121
"Ppp6c",36.5333908673399
"Ppt1",49.0939162631409
"Prdm2",38.6180395515016
"Prdx1",89.6953214579023
"Prep",29.0538585144048
"Prkaca",49.5466667141284
"Prkacb",32.4830405758073
"Prkar1a",84.0549024520422
"Prkdc",17.2570482704412
"Prpf31",25.5286932253871
"Prps1",27.7422798969121
"Psap",40.3137952959959
"Psen1",42.77680101209
"Psip1",51.1338494276758
"Psmc3",73.8372998987063
"Psmc4",59.0115190616189
"Psmd14",53.3819165843532
"Psme4",41.2374612559251
"Psmf1",26.2857981212019
"Ptdss2",17.859568057173
"Pten",58.3026613708251
"Ptma",92.4091004419855
"Ptpmt1",34.2373585255698
"Ptpn1",50.5526129536606
"Ptpn11",38.0902197474557
"Ptpn2",40.1283441334279
"Ptpn23",16.4831315069624
"Pts",33.9050302117162
"Pttg1",45.0317512166259
"Pura",51.3051705122789
"Pxn",25.7234206272618
"Rab35",25.8763130059995
"Rabgap1",33.2557124268656
"Rabgef1",37.2055564584134
"Rabggta",19.5422730425384
"Rac1",88.0045814949227
"Rad17",18.6167336087468
"Rad23a",46.092411506977
"Rad23b",51.7584421495521
"Rad50",28.6414210837695
"Rae1",37.1676967599623
"Raf1",42.8882035345368
"Rap1b",80.7620246022662
"Rapgef1",32.0586034439944
"Rasa1",40.8055717359224
"Rassf1",38.9671165466551
"Rb1cc1",47.4744154356793
"Rbms1",52.9119135332776
"Rbpj",32.0069612585956
"Rcan1",28.0723201770036
"Rce1",28.3570717042928
"Rela",54.8836913525884
"Rere",39.8536573429122
"Rev3l",25.7779443103664
"Rexo2",55.3596032835178
"Rfc1",39.6962800971844
"Rfng",20.440390004876
"Ric8b",16.9815748506109
"Rnf2",26.6530348658311
"Rnf20",39.392468076499
"Rock1",75.4766529526208
"Rock2",56.9016783194949
"Rpa1",30.7672524009529
"Rps19",92.4762522570697
"Rptor",20.9364262561438
"Rrn3",41.4452120925899
"Rsf1",38.2967321136454
"Rtn4",62.9065316249064
"Rxrb",33.053200526748
"Sbds",62.0181576328813
"Sbf1",20.0144030100401
"Sc5d",26.5710011693467
"Scarb1",24.2637798077709
"Scd2",34.7771181837977
"Scrib",15.2127220791546
"Sdha",72.8855728992075
"Sdhb",75.5237306797592
"Sdhc",65.079758717747
"Sdhd",59.899638674385
"Setdb1",20.7053636867777
"Sf3b1",79.4620919550832
"Sgpl1",26.6215337975239
"Shc1",33.794274898
"Siah1a",28.7373618712754
"Sin3a",31.7316534393867
"Sirt1",22.2737358163787
"Ski",34.2289885175538
"Skil",54.427019425424
"Slc11a2",15.8606217778202
"Slc17a5",15.7849641868675
"Slc25a3",85.5746868841906
"Slc30a1",16.0171542004855
"Slc30a5",30.5494117223103
"Slc35a1",25.4041075212494
"Slc3a2",67.7587856083692
"Slc6a6",49.5405799758084
"Slc9a3r1",40.8466028822669
"Smad2",31.3894171435629
"Smad3",24.9927427322567
"Smad4",36.1757261706212
"Smad5",26.2503291224533
"Smarca4",52.5066224504947
"Smarca5",67.929057040447
"Smarcad1",23.7067997514156
"Smarcb1",48.0487813722323
"Smarcc1",42.4235149760109
"Smc5",25.2547363502201
"Snapin",38.6617138282091
"Snrnp200",34.5303079427164
"Snrnp27",49.472902809183
"Snx1",53.1089138607855
"Snx2",55.7353515173361
"Socs7",18.0755373820094
"Sod1",88.5486758326471
"Sod2",61.9190805841409
"Sos1",25.0760061144286
"Sp1",34.6390299062666
"Sp3",49.1550325574235
